iter	Passed	Remaining
0	164	32751
1	182	18056
2	195	12848
3	209	10278
4	222	8664
5	235	7614
6	250	6900
7	263	6334
8	278	5904
9	292	5562
10	305	5257
11	320	5013
12	334	4813
13	348	4634
14	363	4482
15	377	4346
16	393	4233
17	407	4124
18	424	4041
19	440	3961
20	455	3881
21	472	3822
22	489	3764
23	503	3691
24	518	3629
25	533	3569
26	548	3514
27	563	3461
28	579	3414
29	592	3354
30	605	3303
31	620	3258
32	635	3214
33	648	3166
34	664	3133
35	680	3099
36	696	3070
37	712	3036
38	727	3002
39	742	2968
40	756	2932
41	770	2898
42	785	2867
43	799	2834
44	815	2809
45	829	2775
46	841	2740
47	856	2712
48	870	2683
49	886	2660
50	900	2630
51	914	2602
52	929	2579
53	944	2553
54	960	2532
55	976	2510
56	991	2488
57	1007	2465
58	1019	2436
59	1033	2410
60	1047	2387
61	1061	2363
62	1075	2339
63	1088	2313
64	1105	2295
65	1119	2272
66	1134	2251
67	1147	2227
68	1160	2203
69	1174	2180
70	1188	2158
71	1204	2140
72	1219	2121
73	1233	2100
74	1247	2078
75	1260	2056
76	1275	2036
77	1289	2016
78	1302	1994
79	1315	1972
80	1328	1952
81	1342	1932
82	1355	1910
83	1368	1889
84	1382	1870
85	1395	1850
86	1409	1831
87	1423	1811
88	1436	1791
89	1449	1772
90	1462	1752
91	1476	1732
92	1490	1715
93	1504	1696
94	1518	1677
95	1530	1658
96	1543	1639
97	1557	1620
98	1572	1604
99	1584	1584
100	1598	1566
101	1611	1548
102	1624	1529
103	1636	1510
104	1649	1492
105	1663	1474
106	1676	1457
107	1690	1439
108	1705	1423
109	1718	1406
110	1732	1389
111	1746	1372
112	1759	1354
113	1775	1339
114	1787	1321
115	1801	1304
116	1814	1286
117	1827	1270
118	1840	1252
119	1855	1236
120	1869	1220
121	1882	1203
122	1895	1186
123	1909	1170
124	1922	1153
125	1936	1137
126	1948	1119
127	1964	1105
128	1976	1087
129	1988	1070
130	2002	1054
131	2017	1039
132	2031	1023
133	2046	1008
134	2060	992
135	2073	975
136	2086	959
137	2100	943
138	2114	928
139	2128	912
140	2141	896
141	2156	880
142	2170	865
143	2185	850
144	2200	834
145	2213	818
146	2226	802
147	2240	787
148	2254	771
149	2270	756
150	2283	741
151	2296	725
152	2310	709
153	2324	694
154	2339	679
155	2354	664
156	2368	648
157	2381	633
158	2395	617
159	2408	602
160	2421	586
161	2436	571
162	2447	555
163	2458	539
164	2474	524
165	2487	509
166	2502	494
167	2517	479
168	2531	464
169	2543	448
170	2556	433
171	2569	418
172	2583	403
173	2597	388
174	2611	373
175	2623	357
176	2637	342
177	2652	327
178	2665	312
179	2678	297
180	2692	282
181	2706	267
182	2720	252
183	2732	237
184	2747	222
185	2761	207
186	2774	192
187	2789	178
188	2802	163
189	2818	148
190	2832	133
191	2846	118
192	2860	103
193	2875	88
194	2887	74
195	2899	59
196	2913	44
197	2927	29
198	2941	14
199	2955	0
